Day,Topic,Problem 1,Problem 2,Difficulty (est.)
1,Arrays & Hashing,Two Sum,Group Anagrams,Easy
2,Arrays & Hashing,Top K Frequent Elements,Product of Array Except Self,Medium
3,Two Pointers,Valid Palindrome,Two Sum II – Input Array Is Sorted,Easy
4,Two Pointers,3Sum,Container With Most Water,Medium
5,Sliding Window,Best Time to Buy and Sell Stock,Longest Substring Without Repeating Characters,Easy
6,Sliding Window,Longest Repeating Character Replacement,Minimum Window Substring,Hard
7,Stack,Valid Parentheses,Daily Temperatures,Easy
8,Stack,Car Fleet,Evaluate Reverse Polish Notation,Medium
9,Binary Search,Binary Search,Koko Eating Bananas,Easy
10,Binary Search,Search a 2D Matrix,Time Based Key-Value Store,Medium
11,Linked List,Reverse Linked List,Merge Two Sorted Lists,Easy
12,Linked List,Reorder List,Remove N-th Node From End of List,Medium
13,Trees,Invert Binary Tree,Maximum Depth of Binary Tree,Easy
14,Trees,Diameter of Binary Tree,Subtree of Another Tree,Medium
